trade_id,ticker,company_name,exchange,sector,trade_date,open_price_inr,high_price_inr,low_price_inr,close_price_inr,prev_close_inr,volume,market_cap_cr,pe_ratio,pb_ratio,dividend_yield,beta,52w_high_inr,52w_low_inr,nifty50_weight,portfolio,analyst_rating,shares_held,purchase_price_inr,currency,broker_notes,data_feed
IN004528,ICICIBANK,ICICI Bank,NSE,,2022-08-15,934.95,1007.64,909.4,995.65,973.97,1299267.0,509632.96,22.72,4.42,3.034,0.495,1219.05,893.15,0.5,Nifty50_Portfolio,Hold,642.0,961.79,INR,,
IN003621,MARUTI,Maruti Suzuki,BSE,Automobile,2021-07-19,10017.6,10054.15,9652.95,9656.09,9987.47,575362.0,9634691.49,30.06,14.28,2.787,1.683,10948.07,7817.75,0.5,Sectoral_Portfolio,,1125.0,10273.5,INR,,
IN002802,SBIN,State Bank of India,NSE,Banking,2021-05-18,605.1,634.8,593.07,620.0,630.57,1472394.0,353592.77,65.32,8.81,2.096,0.735,720.47,558.83,5.1,Sectoral_Portfolio,Buy,537.0,705.4,INR,,
IN000756,ADANIENT,Adani Enterprises,NSE,Conglomerate,2022-08-31,2900.23,3025.89,2874.27,2956.4,3062.85,1866471.0,411770.01,60.2,4.76,,1.73,3746.64,2181.06,0.0,Nifty50_Portfolio,Hold,88.0,2300.89,INR,,
IN000519,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2021-09-13,1194.34,1269.03,1188.37,1249.88,1235.3,4231606.0,168462.4,25.35,,3.479,1.519,1550.08,1018.86,2.3,Sectoral_Portfolio,Buy,643.0,955.11,INR,,
IN003935,SBIN,State Bank of India,NSE,Banking,2024-03-28,609.37,633.59,604.15,616.82,621.39,3614950.0,521238.03,73.61,10.38,1.869,1.753,682.27,455.31,3.5,Sectoral_Portfolio,Sell,490.0,561.7,INR,,
IN000033,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2023-08-11,1258.35,1286.06,1156.06,1178.92,1171.4,3181744.0,734646.09,66.47,2.18,3.219,0.558,1566.63,1001.7,3.5,Midcap_Portfolio,Buy,1199.0,1077.94,INR,,
IN003821,TITAN,Titan Company,BSE,Consumer Goods,2023-03-13,3479.12,3562.72,3204.14,3248.37,3244.01,928269.0,859561.65,23.79,8.46,0.742,1.859,3858.74,2790.13,2.3,Midcap_Portfolio,Hold,1925.0,3298.32,INR,,
IN001158,RELIANCE,Reliance Industries,NSE,Energy,2023-05-09,2274.19,2338.62,2074.6,2130.93,2164.23,1794880.0,1113289.05,17.04,9.71,,0.496,2521.77,2066.24,0.5,Sectoral_Portfolio,Hold,1220.0,2161.82,INR,,
IN000745,POWERGRID,Power Grid Corporation,BSE,Utilities,2024-02-27,258.25,263.7,250.47,254.58,259.7,3060808.0,87776.47,65.59,4.91,1.279,1.933,287.05,203.39,1.2,Midcap_Portfolio,strong buy,812.0,231.06,INR,,
IN001484,HCLTECH,HCL Technologies,NSE,Technology,2022-09-02,1433.42,1474.61,1387.47,1388.23,1406.64,2776517.0,,16.87,11.32,3.61,,1822.03,1170.08,0.0,Midcap_Portfolio,Strong Buy,519.0,1253.03,INR,,
IN002482,SBIN,State Bank of India,NSE,,2024-10-25,582.49,616.06,576.06,610.76,623.49,3127301.0,,36.77,8.88,,0.786,788.3,492.35,0.5,Midcap_Portfolio,Underperform,1460.0,502.46,INR,,
IN001740,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2020-01-06,2525.35,2594.97,2453.08,2499.69,2436.25,241695.0,2392408.42,32.44,0.0,2.637,1.89,3473.36,1736.33,2.3,Sectoral_Portfolio,Hold,1445.0,2300.35,INR,,
IN004029,INFY,Infosys,NSE,Technology,2020-11-13,1480.18,1480.89,1348.79,1383.39,1377.34,3265331.0,1198189.95,18.83,13.48,1.509,0.912,1853.58,1027.36,1.2,Nifty50_Portfolio,Buy,1117.0,1494.58,INR,,
IN000784,ONGC,Oil & Natural Gas Corp,NSE,,2023-10-19,274.05,278.78,268.21,272.46,265.7,1117415.0,145553.27,48.52,6.55,3.284,0.736,381.21,171.75,0.0,Sectoral_Portfolio,Strong Buy,1936.0,345.42,INR,,
IN002584,ICICIBANK,ICICI Bank,NSE,Banking,2023-02-16,909.8,934.99,907.15,910.96,899.09,1133958.0,541443.76,37.27,11.48,,,1241.44,721.48,1.2,Sectoral_Portfolio,Buy,868.0,1109.08,INR,,
IN002590,KOTAKBANK,Kotak Mahindra Bank,NSE,Banking,2023-12-20,1823.43,1901.63,1795.54,1867.2,1868.0,3896545.0,800993.07,,3.11,2.586,1.368,1973.83,1557.1,,Midcap_Portfolio,Hold,1251.0,1952.74,INR,,
IN000230,INFY,Infosys,NSE,Technology,2023-09-11,1511.83,1529.43,1418.98,1446.61,1457.82,4639669.0,551001.64,38.54,12.73,0.368,1.766,2096.06,983.39,3.5,Nifty50_Portfolio,Strong Buy,407.0,1840.58,INR,,
IN000858,INFY,Infosys,NSE,Technology,2023-09-06,1515.37,1591.47,1471.28,1565.65,1554.39,,778928.23,71.99,1.63,1.383,0.812,1879.9,953.7,2.3,Midcap_Portfolio,Buy,1889.0,1411.46,INR,,
IN002498,HCLTECH,HCL Technologies,NSE,,2023-03-14,1493.67,1514.23,1385.89,1402.71,1410.63,1404671.0,1438092.43,14.22,,,0.806,1747.03,1381.14,0.5,Nifty50_Portfolio,Hold,1359.0,1743.39,INR,,
IN003382,AXISBANK,Axis Bank,BSE,Banking,2023-06-28,1076.57,1160.22,1069.84,1131.29,1142.0,4737653.0,365102.53,73.87,4.55,1.888,1.177,1341.23,879.57,5.1,Nifty50_Portfolio,Strong Buy,1926.0,1008.96,INR,,
IN002440,HDFCBANK,HDFC Bank,NSE,Banking,2023-04-10,1674.65,1748.37,1628.51,1718.61,1653.41,4191092.0,119514.98,63.11,4.57,,1.865,2058.66,1129.95,2.3,Sectoral_Portfolio,Sell,1357.0,1724.66,INR,,
IN000409,MARUTI,Maruti Suzuki,BSE,Automobile,2020-08-07,10393.99,10560.34,10075.83,,10433.65,1407220.0,3772997.78,48.08,7.99,2.866,,12602.01,6976.91,2.3,Midcap_Portfolio,Hold,1955.0,7993.62,INR,,
IN000171,ADANIENT,Adani Enterprises,NSE,Conglomerate,2021-11-11,2935.33,2951.12,2777.22,2843.83,2955.1,3348733.0,,56.31,1.12,1.399,1.397,3443.13,1955.42,0.0,Nifty50_Portfolio,Strong Buy,1195.0,2314.45,INR,,
IN000541,LT,Larsen & Toubro,NSE,Infrastructure,2024-11-08,3119.83,3277.28,3068.27,3233.68,3188.22,3174754.0,1889162.2,27.54,14.75,2.943,1.911,4384.25,2158.04,0.5,Sectoral_Portfolio,Hold,1914.0,3829.48,INR,,
IN002548,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2022-04-14,9839.24,10123.42,9308.54,9542.9,9368.38,1605476.0,610555.84,54.49,3.6,1.122,0.932,13013.21,8893.95,2.3,Nifty50_Portfolio,Hold,736.0,7684.57,INR,,
IN003173,LT,Larsen & Toubro,NSE,Infrastructure,2023-05-15,3057.18,3237.82,2979.77,3214.88,3162.95,2684496.0,,33.66,,0.338,1.24,4255.47,2706.06,3.5,Nifty50_Portfolio,Hold,1151.0,2781.16,INR,,
IN002654,NESTLEIND,Nestle India,BSE,FMCG,2023-08-30,21857.64,22471.7,21155.87,21586.07,22306.49,3806802.0,8782085.35,22.6,5.92,1.205,0.777,30473.0,16851.41,2.3,Nifty50_Portfolio,Buy,1712.0,25652.16,INR,,
IN000614,ICICIBANK,ICICI Bank,NSE,Banking,2024-09-17,987.61,1012.57,926.71,951.22,971.62,3172002.0,471471.26,46.78,,0.999,1.227,1254.62,892.38,0.0,Midcap_Portfolio,Buy,1965.0,998.72,INR,,
IN003728,KOTAKBANK,Kotak Mahindra Bank,NSE,Banking,2020-12-28,1719.62,1744.25,1678.38,1705.18,1682.84,982086.0,559140.88,73.33,12.68,2.163,1.183,2104.18,1362.25,5.1,Nifty50_Portfolio,Underperform,257.0,1572.35,INR,,
IN002900,NTPC,NTPC Limited,NSE,Utilities,2024-09-17,350.67,355.19,340.55,346.25,349.37,286994.0,,62.25,5.35,1.792,0.788,408.25,250.35,,Midcap_Portfolio,Strong Buy,855.0,332.05,INR,,
IN003561,POWERGRID,Power Grid Corporation,BSE,Utilities,2022-11-07,250.5,263.84,248.18,257.75,250.83,51912.0,233423.75,63.54,13.17,3.674,,268.32,180.37,2.3,Sectoral_Portfolio,Buy,1492.0,238.22,INR,,
IN001162,KOTAKBANK,Kotak Mahindra Bank,NSE,Banking,2023-09-04,1712.22,1752.04,1640.69,1651.17,1611.04,2305374.0,,20.37,12.48,1.499,1.395,1900.68,1087.45,3.5,Sectoral_Portfolio,Strong Buy,951.0,1642.2,INR,,
IN004776,POWERGRID,Power Grid Corporation,BSE,Utilities,2024-12-03,256.34,261.39,236.65,240.74,249.45,3722055.0,,,1.08,,1.497,334.94,186.64,1.2,Midcap_Portfolio,Sell,1999.0,245.46,INR,,
IN003045,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2021-02-12,1247.02,1344.79,1222.25,1329.24,1283.27,3194405.0,1010127.76,71.93,,1.736,0.543,1625.45,977.95,2.3,Midcap_Portfolio,Strong Buy,593.0,965.03,INR,,
IN004347,SUNPHARMA,Sun Pharmaceutical,BSE,bank,2021-09-13,1242.67,1256.92,1159.47,1175.64,1180.91,3991156.0,734462.48,32.77,12.28,2.78,0.748,1360.84,1078.66,0.5,Nifty50_Portfolio,Buy,1777.0,1243.78,INR,,
IN003366,TCS,Tata Consultancy Services,NSE,Technology,2023-12-20,3483.32,3695.39,3389.56,3592.66,3459.47,315594.0,889417.86,26.68,11.75,3.943,0.856,3922.14,2200.97,0.0,Midcap_Portfolio,Buy,791.0,3281.63,INR,,
IN004707,ICICIBANK,ICICI Bank,NSE,Banking,2021-01-25,943.56,950.4,921.44,,935.83,226893.0,250539.98,33.79,5.74,2.851,1.513,1171.99,765.19,3.5,Sectoral_Portfolio,Buy,442.0,792.04,INR,,
IN003629,TCS,Tata Consultancy Services,NSE,Technology,2022-08-24,3452.16,3590.92,3412.63,3568.01,3706.4,1642410.0,2722065.11,60.15,,2.673,1.32,3783.89,3005.21,0.5,Sectoral_Portfolio,Hold,1881.0,3018.84,INR,,
IN000565,ADANIENT,Adani Enterprises,NSE,Conglomerate,2022-04-29,2759.44,2939.38,2742.43,2893.28,2949.26,3561003.0,1454238.41,69.19,2.48,3.081,1.135,3121.91,2352.7,1.2,Midcap_Portfolio,Buy,506.0,2322.43,INR,,
IN003698,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2020-06-24,2565.71,2641.0,2488.55,2530.51,2477.77,654010.0,378130.84,18.72,5.5,3.203,1.7,2686.85,1542.79,5.1,Nifty50_Portfolio,Buy,268.0,2454.61,INR,,
IN004318,ICICIBANK,ICICI Bank,NSE,Banking,2020-01-02,990.95,1011.61,932.59,959.4,979.99,3705384.0,240198.38,68.22,6.99,0.638,0.981,1324.45,638.28,0.5,Midcap_Portfolio,Buy,1914.0,955.65,INR,,
IN001908,HDFCBANK,HDFC Bank,NSE,Banking,2024-04-09,1602.75,1643.6,1601.72,1630.8,1685.28,4823265.0,130112.61,,6.18,0.402,1.809,2151.98,1455.69,1.2,Midcap_Portfolio,Hold,96.0,1952.74,INR,,
IN004538,NESTLEIND,Nestle India,BSE,,2020-05-08,23077.42,23113.67,22197.7,22647.96,22977.25,2654264.0,20043674.08,63.72,5.53,1.268,1.469,26119.76,19352.72,5.1,Sectoral_Portfolio,Hold,1964.0,22566.84,INR,,
IN001898,BAJFINANCE,Bajaj Finance,NSE,NBFC,2021-02-12,6895.14,7063.13,6537.57,,6715.16,1395266.0,5915143.61,74.23,9.54,2.802,0.443,7828.45,6520.07,0.0,Sectoral_Portfolio,Hold,1859.0,8020.55,INR,,
IN004112,KOTAKBANK,Kotak Mahindra Bank,NSE,Banking,2021-02-04,1731.59,1739.22,1712.14,1722.0,1684.23,3235182.0,1021117.56,37.66,7.3,2.522,1.168,2323.8,1336.47,5.1,Midcap_Portfolio,Sell,1475.0,1570.92,INR,,
IN004467,ASIANPAINT,Asian Paints,BSE,Consumer Goods,2020-04-15,3142.29,3203.4,3042.86,3089.5,3135.34,,1436607.04,,8.24,3.383,,3170.2,2591.14,0.5,Sectoral_Portfolio,Strong Buy,754.0,3557.19,INR,,
IN003600,WIPRO,Wipro,B,Technology,2021-07-19,515.91,530.83,513.25,517.89,537.58,3228572.0,202051.09,42.63,,0.122,1.094,629.13,434.02,3.5,Sectoral_Portfolio,Buy,1985.0,559.56,INR,,
IN001925,TECHM,Tech Mahindra,NSE,Technology,2024-11-04,1248.31,1147.1277988433383,1189.95,1196.01,1162.18,4554234.0,1225579.02,,3.32,1.709,0.874,1813.87,898.27,5.1,Midcap_Portfolio,Buy,311.0,1583.87,INR,,
IN002472,BAJFINANCE,Bajaj Finance,NSE,NBFC,2022-01-10,7202.25,7330.83,7070.65,7270.3,7475.3,,1886932.25,40.3,7.25,1.092,1.3,9648.62,6252.75,5.1,Nifty50_Portfolio,Underperform,1075.0,6269.06,INR,,
IN002708,TECHM,Tech Mahindra,NSE,Technology,2022-06-06,1251.28,1273.22,1173.15,1208.17,1240.76,2544318.0,1237382.77,78.13,13.73,2.436,1.627,1538.3,1050.05,,Sectoral_Portfolio,Hold,1601.0,1265.69,INR,,
IN002866,HDFCBANK,HDFC Bank,NSE,Banking,2021-02-19,1644.55,1756.3,1638.89,1751.84,1738.16,1161952.0,,16.9,12.25,2.225,0.667,1718.94,1277.98,1.2,Midcap_Portfolio,Strong Buy,1121.0,1998.62,INR,,
IN001173,powergrid,Power Grid Corporation,BSE,Utilities,2023-06-30,249.36,253.04,227.92,,230.62,1541380.0,246641.17,33.99,12.42,0.524,1.062,329.59,204.73,0.0,Midcap_Portfolio,Hold,1601.0,205.1,INR,,
IN001833,ASIANPAINT,Asian Paints,BSE,Consumer Goods,2023-07-07,2887.23,3115.42,2844.21,,3023.66,4944797.0,1998262.15,,,2.299,1.897,3877.78,2215.74,0.5,Midcap_Portfolio,Buy,865.0,2449.23,INR,,
IN000326,POWERGRID,Power Grid Corporation,Bse,pharma,2023-12-01,242.68,243.63,232.81,238.94,235.02,2236059.0,203118.78,,15.0,1.025,0.889,262.83,202.44,1.2,Nifty50_Portfolio,Buy,229.0,269.69,INR,,
  IN001052  ,LT,Larsen & Toubro,NSE,Infrastructure,2022-08-17,3076.52,3314.73,2988.14,3287.36,3392.09,1386663.0,1450989.33,48.59,1.11,3.762,0.945,4243.48,1972.83,0.0,Midcap_Portfolio,Sell,641.0,3963.22,INR,,
IN004734,NTPC,NTPC Limited,NSE,Utilities,2020-06-10,334.19,354.08,326.89,352.97,363.13,2243533.0,325821.7,75.07,10.21,2.705,1.985,487.67,261.61,0.0,Nifty50_Portfolio,Strong Buy,794.0,324.07,INR,,
IN003413,BAJFINANCE,Bajaj Finance,NSE,NBFC,2024-05-29,6790.61,7121.41,6599.4,6980.33,7041.65,4755577.0,3908596.92,50.52,14.81,0.54,0.567,9280.14,5640.91,0.0,Nifty50_Portfolio,Buy,559.0,5731.13,INR,,
IN004531,BAJFINANCE,Bajaj Finance,NSE,,2024-01-18,7011.51,7395.36,6909.85,7241.35,7357.31,606117.0,656996.84,,10.88,3.077,1.035,9369.18,5324.76,1.2,Midcap_Portfolio,Hold,1415.0,7004.41,INR,,
IN004692,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2023-10-06,1187.89,1210.46,1139.58,1170.47,1216.67,4740451.0,700529.6,34.53,5.52,0.994,,1639.6,805.71,3.5,Sectoral_Portfolio,Sell,1387.0,1178.85,INR,,
IN001589,BAJFINANCE,Bajaj Finance,NSE,NBFC,2021-03-10,6870.24,7188.96,6794.46,7074.18,6945.55,1658987.0,3380260.47,51.48,5.89,1.551,1.094,9000.71,6186.69,3.5,Sectoral_Portfolio,Hold,1712.0,8687.92,INR,,
IN001197,AXISBANK,Axis Bank,BSE,Banking,2022-08-19,1063.27,1082.2,967.98,990.48,979.23,2069590.0,144527.2,14.14,1.16,2.743,0.606,1303.61,948.03,2.3,Nifty50_Portfolio,Strong Buy,1632.0,1220.17,INR,,
IN000621,TECHM,Tech Mahindra,NSE,Technology,2022-02-08,1281.58,1287.06,1237.21,1261.02,1273.43,1340905.0,1099467.57,25.18,5.25,1.345,1.885,1412.12,1161.28,2.3,Midcap_Portfolio,Buy,1642.0,1341.43,INR,,
IN001816,POWERGRID,Power Grid Corporation,BSE,Utilities,2020-05-01,245.16,261.55,244.84,260.14,257.32,3813175.0,129879.84,42.41,3.26,2.344,1.584,263.32,196.41,1.2,Nifty50_Portfolio,Buy,1812.0,194.62,INR,,
IN004590,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2023-06-19,2411.72,2508.65,2387.87,2496.13,2513.41,4396659.0,1528946.97,10.36,4.41,2.138,1.268,3291.56,2216.64,0.0,Sectoral_Portfolio,Hold,607.0,2892.64,INR,,
IN001190,LT,Larsen & Toubro,NSE,Infrastructure,2022-12-09,3185.37,3314.79,3092.51,3303.21,3286.95,1837848.0,1812582.56,16.11,5.55,1.8,1.175,3603.06,2342.09,2.3,Midcap_Portfolio,Sell,1657.0,3261.86,INR,,
IN000329,SBIN,State Bank of India,NSE,Banking,2024-12-09,571.23,574.44,530.29,543.41,536.02,4891104.0,555358.59,34.01,3.01,3.569,1.936,712.18,387.56,5.1,Midcap_Portfolio,Strong Buy,1342.0,567.38,INR,,
IN000649,BHARTIARTL,Bharti Airtel,NSE,Telecom,2022-07-29,917.4,921.81,904.16,909.79,911.43,3456396.0,735394.83,69.91,11.66,0.49,0.791,1070.97,605.63,5.1,Sectoral_Portfolio,Strong Buy,1441.0,901.97,INR,,
IN000898,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2020-01-15,9492.97,9590.88,8943.5,9078.81,9213.62,4199797.0,9312360.52,21.27,14.08,1.24,0.931,13033.61,6195.31,1.2,Sectoral_Portfolio,Buy,939.0,9182.48,INR,,
IN003485,SUNPHARMA,Sun Pharmaceutical,BSE,Pharma,2021-09-06,1236.36,1257.76,1179.73,1179.8,1173.51,4595225.0,97118.57,,11.24,0.349,1.144,1370.07,840.72,5.1,Nifty50_Portfolio,Buy,1700.0,1064.75,INR,,
IN001124,AXISBANK,Axis Bank,BSE,Banking,2021-04-16,1069.94,1087.24,1016.68,1046.07,1030.14,792614.0,485837.88,27.56,5.12,1.027,1.803,1499.15,1021.89,2.3,Sectoral_Portfolio,Underperform,263.0,1352.11,INR,,
IN002688,INFY,Infosys,NSE,Technology,2023-03-07,1437.25,1469.1,1391.63,1433.54,1425.85,1540585.0,,29.65,12.48,,1.346,2009.71,1353.62,5.1,Midcap_Portfolio,Buy,1610.0,1641.84,INR,,
IN004720,INFY,Infosys,NSE,Technology,2022-05-05,1520.02,1534.17,1476.86,1498.82,1444.2,3434786.0,1378264.13,16.14,1.56,3.691,1.83,1633.34,1272.59,1.2,Nifty50_Portfolio,Strong Buy,778.0,1711.96,INR,,
IN001938,AXISBANK,Axis Bank,BSE,Banking,2023-01-19,1133.22,1135.99,1107.45,1112.62,1096.51,3222615.0,760562.72,31.56,3.4,,1.482,1393.08,689.59,0.0,Midcap_Portfolio,,1105.0,1268.48,INR,,
IN001481,AXISBANK,Axis Bank,BSE,Banking,2020-06-11,1154.5,1156.18,1117.97,1140.38,1135.1,1467601.0,1083749.15,38.38,4.61,0.435,1.58,1208.92,982.39,0.0,Nifty50_Portfolio,Buy,1163.0,1248.72,INR,,
IN002891,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2021-04-23,9464.48,9664.5,9352.13,9581.78,9292.05,2905991.0,4009612.5,28.52,11.71,3.648,1.761,10500.47,5704.55,0.5,Midcap_Portfolio,Buy,1737.0,11490.92,INR,,
IN004287,AXISBANK,Axis Bank,BSE,Banking,2023-08-15,1063.73,1063.88,980.81,1003.26,999.47,2481852.0,452962.24,17.19,8.65,2.186,1.956,1347.28,826.08,3.5,Midcap_Portfolio,Underperform,1618.0,1095.24,INR,,
IN003762,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2022-07-13,9832.91,10182.73,9723.48,9996.28,9868.63,3237906.0,7909963.82,29.8,7.16,3.831,1.886,10595.83,6766.98,5.1,Nifty50_Portfolio,Sell,146.0,9292.59,INR,,
IN004295,NTPC,NTPC Limited,NSE,Utilities,2021-04-30,350.22,359.47,332.43,340.95,336.55,842278.0,19695.37,21.96,1.28,3.246,1.44,369.72,277.35,2.3,Nifty50_Portfolio,Strong Buy,585.0,315.39,INR,,
IN004397,TECHM,Tech Mahindra,NSE,Technology,2020-06-29,1275.63,1281.24,1254.5,1255.1,1253.2,858422.0,836417.91,11.68,2.51,,1.92,1621.21,802.38,2.3,Sectoral_Portfolio,Buy,517.0,1547.12,INR,,
IN002823,TITAN,Titan Company,BSE,Consumer Goods,2024-04-08,3235.41,3354.63,3150.82,3329.09,3452.82,507736.0,3389720.69,79.68,,,1.657,3868.79,2870.03,1.2,Sectoral_Portfolio,Strong Buy,531.0,4165.36,INR,,
IN001024,HCLTECH,HCL Technologies,NSE,,2021-12-22,1530.06,1544.8,1438.05,1448.73,1449.45,116269.0,1447205.33,13.0,9.97,,1.623,2027.41,937.94,3.5,Sectoral_Portfolio,Buy,1905.0,1514.46,INR,,
IN004504,BAJFINANCE,Bajaj Finance,NSE,NBFC,2022-11-18,6714.39,6753.99,6586.96,6626.71,6891.39,4396474.0,2788170.06,56.34,9.61,2.158,1.743,8348.1,5280.0,3.5,Midcap_Portfolio,,181.0,6789.73,INR,,
IN004419,NESTLEIND,Nestle India,BSE,FMCG,2020-08-21,22398.31,22575.56,20535.12,,21501.93,4331228.0,4780726.42,17.6,9.34,1.581,1.14,23543.72,19770.66,0.5,Sectoral_Portfolio,Buy,153.0,19790.59,INR,,
IN004628,TITAN,Titan Company,BSE,Consumer Goods,2023-03-16,3409.6,3503.69,3290.17,3373.29,3272.6,3951101.0,2556287.01,,3.32,1.368,0.41,4213.71,3216.88,1.2,Midcap_Portfolio,Underperform,424.0,3559.53,INR,,
IN004909,NTPC,NTPC Limited,NSE,Utilities,2020-09-21,344.09,360.02,340.8,355.11,345.18,4534945.0,293319.86,,13.05,3.663,1.48,451.54,301.68,5.1,Midcap_Portfolio,Buy,1350.0,375.31,INR,,
IN001567,NESTLEIND,Nestle India,BSE,FMCG,2022-08-10,21168.13,21428.44,20130.42,20235.23,20686.76,662852.0,4133587.37,74.16,11.67,3.044,1.062,30514.04,14057.7,0.5,Sectoral_Portfolio,Hold,355.0,19745.06,INR,,
IN000810,TITAN,Titan Company,BSE,fmcg,2022-07-15,3347.24,3533.78,3253.27,3473.99,3397.35,3810292.0,3026566.61,43.13,5.19,0.07,1.835,4503.54,3052.59,2.3,Sectoral_Portfolio,Hold,1048.0,3968.06,INR,,
IN002952,ADANIENT,Adani Enterprises,NSE,Conglomerate,2022-03-08,2938.77,2976.92,2684.81,2752.65,2812.88,3615916.0,1465498.44,78.72,4.05,0.314,1.019,3479.67,1818.81,5.1,Midcap_Portfolio,,1259.0,2176.62,INR,,
IN000979,TCS,Tata Consultancy Services,NSE,Technology,2020-04-28,3452.63,3530.56,3407.61,3433.05,3317.09,260868.0,1316608.58,75.99,13.42,0.928,0.745,4715.97,2200.16,0.0,Sectoral_Portfolio,Buy,292.0,3933.68,INR,,
IN002169,ICICIBANK,ICICI Bank,NSE,Banking,2024-05-09,934.41,964.67,919.08,946.38,966.68,2642925.0,756105.09,23.89,4.9,2.712,1.363,1048.14,755.18,2.3,Sectoral_Portfolio,Hold,740.0,740.68,INR,,
IN003435,POWERGRID,Power Grid Corporation,BSE,Utilities,2020-04-30,243.17,261.04,240.76,254.15,259.89,2824525.0,33297.21,76.46,14.97,2.207,1.544,282.75,197.97,3.5,Nifty50_Portfolio,Buy,1399.0,218.7,INR,,
IN001790,WIPRO,Wipro,BSE,Technology,2023-07-18,483.92,492.14,448.42,460.03,451.95,4518961.0,489901.51,46.22,11.22,0.405,1.153,537.43,453.84,1.2,Sectoral_Portfolio,Hold,102.0,459.82,INR,,
IN001502,BHARTIARTL,Bharti Airtel,NSE,bank,2020-07-24,935.56,995.15,930.77,983.38,986.85,3557565.0,432645.96,70.13,6.37,1.233,1.296,965.43,843.53,0.0,Midcap_Portfolio,Strong Buy,1108.0,932.88,INR,,
IN004020,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2021-08-10,9840.55,9863.38,9503.44,9793.18,9637.62,2325705.0,1131760.35,66.92,,2.473,0.993,11833.74,6631.55,2.3,Sectoral_Portfolio,sell,1372.0,7384.8,INR,,
IN001488,INFY,Infosys,NSE,Technology,2023-01-02,1450.12,1540.77,1447.75,1504.36,1556.25,567587.0,694723.25,52.99,11.06,2.007,0.401,2059.69,904.81,5.1,Sectoral_Portfolio,,1239.0,1454.81,INR,,
IN004130,ULTRACEMCO,UltraTech Cement,BSE,Infrastructure,2022-04-06,9769.4,10451.68,9590.63,10221.89,9849.63,4418270.0,1627273.75,78.21,11.58,2.996,1.797,13133.69,5974.56,5.1,Midcap_Portfolio,Buy,316.0,8599.83,INR,,
IN003814,HDFCBANK,HDFC Bank,NSE,Banking,2021-05-21,1556.51,1574.59,1517.51,,1571.49,,1011903.76,30.89,14.45,3.282,,2178.21,993.44,0.0,Sectoral_Portfolio,Sell,947.0,1460.76,INR,,
IN002499,HINDUNILVR,Hindustan Unilever,NSE,FMCG,2021-12-28,2439.74,2508.42,2332.85,,2307.62,3891717.0,335474.36,30.41,7.36,1.076,0.534,2672.61,1712.8,0.5,Nifty50_Portfolio,Strong Buy,740.0,2649.33,INR,,
IN001878,ICICIBANK,ICICI Bank,NSE,,2022-01-11,913.35,973.85,895.07,947.48,980.08,996698.0,176200.19,29.95,8.07,,1.979,1026.7,831.83,0.0,Sectoral_Portfolio,Buy,190.0,947.68,INR,,
IN000175,ASIANPAINT,Asian Paints,BSE,Consumer Goods,2022-05-23,2895.18,2941.2,2782.91,2823.83,2784.66,2799092.0,2353716.38,75.11,7.57,3.992,1.841,3322.18,2637.52,3.5,Nifty50_Portfolio,Sell,834.0,2665.47,INR,,
IN001651,AXISBANK,Axis Bank,BSE,Banking,2024-03-12,1094.53,1101.41,1078.18,1091.97,1056.0,533639.0,446350.48,68.35,4.93,2.375,1.665,1243.6,696.99,0.5,Midcap_Portfolio,Hold,301.0,882.66,INR,,
IN004225,ONGC,Oil & Natural Gas Corp,NSE,Energy,2024-02-09,272.05,276.51,254.87,260.2,266.32,965309.0,183400.52,68.3,,3.126,1.676,373.68,191.52,,Midcap_Portfolio,Strong Buy,1024.0,258.94,INR,,
IN004109,NESTLEIND,Nestle India,BSE,FMCG,2021-10-18,22370.71,22751.5,21587.91,22251.7,22202.71,1115272.0,20588649.58,44.73,13.72,,0.514,26170.24,19773.88,0.0,Sectoral_Portfolio,Buy,474.0,19624.75,INR,,
IN004536,POWERGRID,Power Grid Corporation,BSE,Utilities,2022-12-08,240.84,248.06,239.23,242.98,241.76,3967648.0,18672.0,20.15,,2.795,0.927,297.27,225.76,1.2,Sectoral_Portfolio,Hold,1066.0,252.26,INR,,
IN000218,TCS,Tata Consultancy Services,NSE,Technology,2024-10-17,3371.43,3443.71,3257.96,3333.24,3249.69,,218749.56,10.36,12.02,2.785,0.801,4024.66,2245.15,5.1,Midcap_Portfolio,Hold,1136.0,2873.55,INR,,
IN004051,TITAN,Titan Company,BSE,Consumer Goods,2020-01-16,3563.93,3623.2,3462.35,3599.65,3607.94,650573.0,328697.55,,13.66,0.504,,3579.08,2307.88,2.3,Midcap_Portfolio,Underperform,35.0,3010.87,INR,,
